Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;CMA001;2023-10-15;09:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0060048;MOUGINS COTE D'AZUR VOLLEY-BALL; 2/0;25-10,25-19;50-29;BERTONE;HANOTEL CHRISTINE;HANOTEL CHARLY;;
ACJEUNES;01;CMA002;2023-10-15;00:00;0060048;MOUGINS COTE D'AZUR VOLLEY-BALL;0060050;PHENIX MARITIMUM VOLLEY; 0/2;23-25,20-25;43-50;BERTONE;HANOTEL CHARLY;HANOTEL CHRISTINE;;
ACJEUNES;01;CMA003;2023-10-15;00:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0060050;PHENIX MARITIMUM VOLLEY; 2/0;25-22,25-19;50-41;BERTONE;HANOTEL CHARLY;HANOTEL CHRISTINE;;
ACJEUNES;01;CMB001;2023-10-15;11:00;0060007;AS CANNES VOLLEY-BALL;0836446;SAINTE-MAXIME COGOLIN VOLLEY; 2/0;25-6,25-9;50-15;PALAIS DES VICTOIRES;LORENZELLI NICOLAS;;;
ACJEUNES;01;CMB002;2023-10-15;00:00;0836446;SAINTE-MAXIME COGOLIN VOLLEY;0837251;VOLLEY BALL OLLIOULAIS; 0/2;24-26,17-25;41-51;PALAIS DES VICTOIRES;LORENZELLI NICOLAS;;;
ACJEUNES;01;CMB003;2023-10-15;00:00;0060007;AS CANNES VOLLEY-BALL;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-16,25-12;50-28;PALAIS DES VICTOIRES;LORENZELLI NICOLAS;;;
ACJEUNES;01;CMC001;2023-10-15;12:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0063347;PAYS DE FAYENCE VOLLEY-BALL; 2/0;25-15,25-15;50-30;SALLE OMNISPORTS;CHAMOT DAMIEN;;;
ACJEUNES;01;CMC002;2023-10-15;00:00;0063347;PAYS DE FAYENCE VOLLEY-BALL;0064512;ASPTT NICE; 2/0;25-18,25-17;50-35;SALLE OMNISPORTS;CHAMOT DAMIEN;;;
ACJEUNES;01;CMC003;2023-10-15;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0064512;ASPTT NICE; 2/0;25-7,25-8;50-15;SALLE OMNISPORTS;CHAMOT DAMIEN;;;
ACJEUNES;01;CMD001;2023-10-15;11:00;0132346;MARIGNANE VOLLEY-BALL;0136082;VITROLLES SPORTS VOLLEY-BALL; 2/0;25-13,25-15;50-28;CARESTIER;VERBENA EMMA;BOULANGER JONAS;;
ACJEUNES;01;CMD002;2023-10-15;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0139175;AUBAGNE CARNOUX VOLLEY-BALL; 2/0;25-15,25-19;50-34;CARESTIER;BOULANGER JONAS;VERBENA EMMA;;
ACJEUNES;01;CMD003;2023-10-15;00:00;0132346;MARIGNANE VOLLEY-BALL;0139175;AUBAGNE CARNOUX VOLLEY-BALL; 2/0;25-10,25-8;50-18;CARESTIER;VERBENA EMMA;BOULANGER JONAS;;
