Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;JMA001;2023-11-12;11:00;0062701;ASS SPORTIVE DE MONACO;0066927;NICE VOLLEY-BALL; 0/2;15-25,9-25;24-50;MONEGHETTI;TOUSSAINT ANDRE-LUC;TOMOU RONAN;;
ACJEUNES;01;JMA002;2023-11-12;00:00;0066927;NICE VOLLEY-BALL;0062509;OLYMPIQUES ANTIBES JUAN PINS; 2/0;25-12,25-6;50-18;MONEGHETTI;TOMOU RONAN;TOUSSAINT ANDRE-LUC;;
ACJEUNES;01;JMA003;2023-11-12;00:00;0062701;ASS SPORTIVE DE MONACO;0062509;OLYMPIQUES ANTIBES JUAN PINS; 2/0;25-12,25-15;50-27;MONEGHETTI;TOUSSAINT ANDRE-LUC;TOMOU RONAN;;
ACJEUNES;01;JMB001;2023-11-12;10:00;0839557;FREJUS VAR VOLLEY;0067689;US CAGNES VOLLEY-BALL; 0/2;23-25,26-28;49-53;HALLE DES PORTS SAINT CROIX;GAUDUMET CECILE;BOULKENAFET CELYA;;
ACJEUNES;01;JMB002;2023-11-12;00:00;0067689;US CAGNES VOLLEY-BALL;0134290;MARTIGUES VOLLEY-BALL; 2/0;25-20,25-16;50-36;HALLE DES PORTS SAINT CROIX;GAUDUMET CECILE;;;
ACJEUNES;01;JMB003;2023-11-12;00:00;0839557;FREJUS VAR VOLLEY;0134290;MARTIGUES VOLLEY-BALL; 2/0;25-18,25-22;50-40;HALLE DES PORTS SAINT CROIX;GAUDUMET CECILE;;;
ACJEUNES;01;JMC001;2023-11-12;11:00;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL;0132348;MARSEILLE VOLLEY 13; 1/2;17-25,25-23,12-15;54-63;HALLE CARCASSONNE;CAYRIER MORGAN;GURRIET GILLES;;
ACJEUNES;01;JMC002;2023-11-12;00:00;0132348;MARSEILLE VOLLEY 13;0060007;AS CANNES VOLLEY-BALL; 0/2;11-25,19-25;30-50;HALLE CARCASSONNE;GURRIET GILLES;CAYRIER MORGAN;;
ACJEUNES;01;JMC003;2023-11-12;00:00;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL;0060007;AS CANNES VOLLEY-BALL; 0/2;10-25,15-25;25-50;HALLE CARCASSONNE;CAYRIER MORGAN;GURRIET GILLES;;
ACJEUNES;01;JMD001;2023-11-12;11:00;0819685;PUYLAURENS VOLLEY BALL;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL; 0/2;14-25,19-25;33-50;GYMNASE MUNICIPAL;SAUVY JEAN-PAUL;SOLER CAMILLE;;
ACJEUNES;01;JMD002;2023-11-12;00:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0656864;TARBES ODOS PYRENEES VOLLEY-BALL; 2/0;25-19,25-12;50-31;GYMNASE MUNICIPAL;SOLER CAMILLE;SAUVY JEAN-PAUL;;
ACJEUNES;01;JMD003;2023-11-12;00:00;0819685;PUYLAURENS VOLLEY BALL;0656864;TARBES ODOS PYRENEES VOLLEY-BALL; 2/1;25-20,24-26,15-8;64-54;GYMNASE MUNICIPAL;SAUVY JEAN-PAUL;SOLER CAMILLE;;
ACJEUNES;01;JME001;2023-11-12;11:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB; 0/2;10-25,19-25;29-50;GYMNASE ALAIN COLAS;BOUACHERIA SEBASTIEN;HYM FABRICE;;
ACJEUNES;01;JME002;2023-11-12;00:00;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB;0264654;VALENCE ACE; 2/0;25-14,25-22;50-36;GYMNASE ALAIN COLAS;HYM FABRICE;BOUACHERIA SEBASTIEN;;
