Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;MMA001;2023-10-08;13:00;0476726;NERAC VOLLEY-BALL;0335197;SPORT ATHLETIQUE MERIGNACAIS; 0/2;13-25,16-25;29-50;GYMNASE MICHEL BERT;;;
ACJEUNES;01;MMA002;2023-10-08;00:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0646282;MJC LES FLEURS DE PAU; 2/0;25-21,25-14;50-35;GYMNASE MICHEL BERT;;;
ACJEUNES;01;MMA003;2023-10-08;00:00;0476726;NERAC VOLLEY-BALL;0646282;MJC LES FLEURS DE PAU; 0/2;24-26,22-25;46-51;GYMNASE MICHEL BERT;;;
ACJEUNES;01;MMB001;2023-10-08;11:00;0648903;JURANCON CHAPELLE ROUSSE V.B.;0640001;LESCAR PROMOTION VOLLEY-BALL; 0/2;18-25,10-25;28-50;PAUL FORT;SAES MARIE;SAES MARIE;
ACJEUNES;01;MMB002;2023-10-08;00:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0310022;FONSORBES SEYSSES VOLLEY-BALL; 2/0;25-14,25-13;50-27;PAUL FORT;TERSOL LORIC;SAES MARIE;
ACJEUNES;01;MMB003;2023-10-08;00:00;0648903;JURANCON CHAPELLE ROUSSE V.B.;0310022;FONSORBES SEYSSES VOLLEY-BALL; 2/0;25-23,25-13;50-36;PAUL FORT;SAES MARIE;TERSOL LORIC;
ACJEUNES;01;MMC001;2023-10-08;11:00;0336786;AS ST MEDARD EN JALLES;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 0/2;2-25,8-25;10-50;OLYMPIE;ALI MOUSSA;LEROY BAPTISTE;
ACJEUNES;01;MMC002;2023-10-08;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0330014;J.S.A. BORDEAUX; 2/0;25-8,25-10;50-18;OLYMPIE;LEROY BAPTISTE;ALI MOUSSA;
ACJEUNES;01;MMC003;2023-10-08;00:00;0336786;AS ST MEDARD EN JALLES;0330014;J.S.A. BORDEAUX; 1/2;25-12,16-25,12-15;53-52;OLYMPIE;ALI MOUSSA;LEROY BAPTISTE;
ACJEUNES;01;MMD001;2023-10-08;11:00;0338871;ENT. SPORTIVE BLANQUEFORTAISE;0336361;AV GARDE J D ARC CAUDERAN; 2/0;25-19,25-19;50-38;PORT DU ROY;BEAUDOUIN MATTHIEU;BOUMAROUANE ABDELWAHED;
ACJEUNES;01;MMD002;2023-10-08;00:00;0336361;AV GARDE J D ARC CAUDERAN;0334980;UNION SPORTIVE TALENCAISE; 0/2;12-25,23-25;35-50;PORT DU ROY;BEAUDOUIN MATTHIEU;;
ACJEUNES;01;MMD003;2023-10-08;00:00;0338871;ENT. SPORTIVE BLANQUEFORTAISE;0334980;UNION SPORTIVE TALENCAISE; 0/2;22-25,22-25;44-50;PORT DU ROY;BEAUDOUIN MATTHIEU;;
ACJEUNES;01;MME001;2023-10-08;11:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0315117;MURET VOLLEY-BALL; 0/2;9-25,19-25;28-50;GYMNASE RIVIERE;LARRIEU DAVID;LEFEBVRE CUIT KASSANDRA;
ACJEUNES;01;MME002;2023-10-08;00:00;0315117;MURET VOLLEY-BALL;0826762;MONTAUBAN VOLLEY-BALL 82; 2/1;22-25,25-17,15-12;62-54;GYMNASE RIVIERE;LEFEBVRE CUIT KASSANDRA;LARRIEU DAVID;
ACJEUNES;01;MME003;2023-10-08;00:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0826762;MONTAUBAN VOLLEY-BALL 82; 1/2;24-26,25-19,12-15;61-60;GYMNASE RIVIERE;LARRIEU DAVID;LEFEBVRE CUIT KASSANDRA;
ACJEUNES;01;MMF001;2023-10-08;11:00;0819685;PUYLAURENS VOLLEY BALL;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL; 0/2;13-25,10-25;23-50;GYMNASE MUNICIPAL;SAUVY JEAN-PAUL;BRUNE ARTHUR;
ACJEUNES;01;MMF002;2023-10-08;00:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0114939;NARBONNE VOLLEY; 0/2;19-25,19-25;38-50;GYMNASE MUNICIPAL;BRUNE ARTHUR;SAUVY JEAN-PAUL;
ACJEUNES;01;MMF003;2023-10-08;00:00;0819685;PUYLAURENS VOLLEY BALL;0114939;NARBONNE VOLLEY; 0/2;10-25,11-25;21-50;GYMNASE MUNICIPAL;SAUVY JEAN-PAUL;BRUNE ARTHUR;
ACJEUNES;01;MMG001;2023-10-08;11:00;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0115113;UNION SPORTIVE ROUBIANAISE; 2/1;25-21,14-25,15-13;54-59;SALLE PIERRE VALAX;LARRIEU CHRISTEL;RIGOBERT JEROME;
ACJEUNES;01;MMG002;2023-10-08;00:00;0115113;UNION SPORTIVE ROUBIANAISE;0668467;PERPIGNAN ROUSSILLON V.B; 0/2;10-25,13-25;23-50;SALLE PIERRE VALAX;LARRIEU CHRISTEL;RIGOBERT JEROME;
ACJEUNES;01;MMG003;2023-10-08;00:00;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0668467;PERPIGNAN ROUSSILLON V.B; 0/2;24-26,20-25;44-51;SALLE PIERRE VALAX;RIGOBERT JEROME;LARRIEU CHRISTEL;
ACJEUNES;01;MMH001;2023-10-08;11:00;0348496;AS.SP. V.B MAUGUIO;0347228;ENTENTE CASTRIES VOLLEY BALL; 0/2;6-25,23-25;29-50;GYMNASE JEAN PAUL BEUGNOT;GENIBREL PASCAL;NEE GAEL;
