Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;JFA001;2023-11-12;11:00;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0819685;PUYLAURENS VOLLEY BALL; 0/2;18-25,23-25;41-50;LA CAYRIE;YAFFA AMARA;PECALVEL CYPRIEN;
ACJEUNES;01;JFA002;2023-11-12;00:00;0819685;PUYLAURENS VOLLEY BALL;0349150;LATTES ASPTT MONTPELLIER V.A.C; 1/2;17-25,25-20,12-15;54-60;LA CAYRIE;PECALVEL CYPRIEN;YAFFA AMARA;
ACJEUNES;01;JFA003;2023-11-12;00:00;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;0349150;LATTES ASPTT MONTPELLIER V.A.C; 0/2;19-25,9-25;28-50;LA CAYRIE;YAFFA AMARA;PECALVEL CYPRIEN;
ACJEUNES;01;JFB001;2023-11-12;11:00;0706191;AVANT-GARDE MUNICIP VESOUL;0543620;VANDOEUVRE-NANCY VOLLEY-BALL; 0/2;6-25,9-25;15-50;GYMNASE DES HABERGES;JOVIGNOT ROMUALD;SUAREZ MIGUEL-ANGEL;
ACJEUNES;01;JFB002;2023-11-12;00:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL;0593656;AL CAUDRY VOLLEY-BALL; 2/0;25-13,25-19;50-32;GYMNASE DES HABERGES;SUAREZ MIGUEL-ANGEL;JOVIGNOT ROMUALD;
ACJEUNES;01;JFB003;2023-11-12;00:00;0706191;AVANT-GARDE MUNICIP VESOUL;0593656;AL CAUDRY VOLLEY-BALL; 0/2;10-25,18-25;28-50;GYMNASE DES HABERGES;JOVIGNOT ROMUALD;SUAREZ MIGUEL-ANGEL;
ACJEUNES;01;JFC001;2023-11-12;11:00;0542783;GRAND NANCY VOLLEY-BALL;0579612;TERVILLE FLORANGE OLYMPIQUE; 0/2;19-25,7-25;26-50;GYMNASE ALFRED MEZIERES;CHABI SAMI;JOUCHT ABDELLAH;
ACJEUNES;01;JFC002;2023-11-12;00:00;0579612;TERVILLE FLORANGE OLYMPIQUE;0590036;VOLLEY CLUB DE VALENCIENNES; 2/1;28-26,18-25,15-12;61-63;GYMNASE ALFRED MEZIERES;JOUCHT ABDELLAH;CHABI SAMI;
ACJEUNES;01;JFC003;2023-11-12;00:00;0542783;GRAND NANCY VOLLEY-BALL;0590036;VOLLEY CLUB DE VALENCIENNES; 0/2;11-25,6-25;17-50;GYMNASE ALFRED MEZIERES;JOUCHT ABDELLAH;CHABI SAMI;
ACJEUNES;01;JFD001;2023-11-12;11:00;0593506;AS SPORT ET JOIE LILLE;0590041;HALLUIN VOLLEY METROPOLE; 0/2;21-25,14-25;35-50;SALLE PACOME;CADET JEAN-LUC;CHARLERY KLARA;
ACJEUNES;01;JFD002;2023-11-12;00:00;0590041;HALLUIN VOLLEY METROPOLE;0593916;VOLLEY CLUB MARCQ BAROEUL; 0/2;9-25,17-25;26-50;SALLE PACOME;CHARLERY KLARA;CADET JEAN-LUC;
ACJEUNES;01;JFD003;2023-11-12;00:00;0593506;AS SPORT ET JOIE LILLE;0593916;VOLLEY CLUB MARCQ BAROEUL; 0/2;7-25,10-25;17-50;SALLE PACOME;CADET JEAN-LUC;CHARLERY KLARA;
ACJEUNES;01;JFE001;2023-11-12;11:00;0686392;VOLLEY MULHOUSE ALSACE;0686394;VBC KINGERSHEIM; 2/0;25-14,25-20;50-34;GYMNASE MONTAIGNE;SIFFERLEN YVES;APTER MARC;
ACJEUNES;01;JFE002;2023-11-12;00:00;0686394;VBC KINGERSHEIM;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS; 2/0;25-10,25-23;50-33;GYMNASE MONTAIGNE;SIFFERLEN YVES;APTER MARC;
ACJEUNES;01;JFE003;2023-11-12;00:00;0686392;VOLLEY MULHOUSE ALSACE;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS; 2/0;25-2,25-8;50-10;GYMNASE MONTAIGNE;APTER MARC;SIFFERLEN YVES;
